,method,Ntrain,kernel,train_error,test_error
317,GPC,20,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.3774151191146127
318,GPC,50,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.18603319977103605
319,GPC,100,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.0,0.11392653702612456
320,GPC,500,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.002004008016032064,0.06682086867129274
321,GPC,1000,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.006006006006006006,0.05437055625261397
322,GPC,1500,DotProduct(sigma_0=1) + 1**2 + WhiteKernel(noise_level=10),0.008672448298865909,0.05274971941638608
323,GPC,1000,"Matern(length_scale=1, nu=1.5)",0.0,0.10079464659138436
324,GPC,1500,"Matern(length_scale=1, nu=1.5)",0.0,0.05050505050505051
325,GPC,20,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.5951978990808479
326,GPC,50,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.4508681549322648
327,GPC,100,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.2810842663523866
328,GPC,500,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.11976355692624005
329,GPC,1000,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.07151819322459221
330,GPC,1500,"RationalQuadratic(alpha=1, length_scale=1)",0.0,0.06397306397306397
331,GPC,20,"ExpSineSquared(length_scale=1, periodicity=1)",0.7719298245614035,0.905271056087038
332,GPC,50,"ExpSineSquared(length_scale=1, periodicity=1)",0.8639455782312925,0.9032627361190612
